0,36,
1,40,
2,39,
3,31,
4,23,
5,39,
6,33,
7,34,
8,29,
9,31,
10,27,
11,38,
12,32,
13,30,
14,26,
15,30,
16,24,
17,25,
18,31,
19,36,
20,19,
21,37,
22,22,
23,42,
24,27,
25,35,
26,35,
27,37,
28,34,
29,32,
30,30,
31,35,
32,29,
33,42,
34,25,
35,35,
36,27,
37,36,
38,30,
39,34,
40,35,
41,34,
42,34,
43,25,
44,21,
45,37,
46,29,
47,31,
48,38,
49,34,
50,33,
51,27,
52,32,
53,37,
54,28,
55,37,
56,45,
57,37,
58,34,
59,25,
60,43,
61,31,
62,39,
63,35,
64,37,
65,34,
66,36,
67,29,
68,21,
69,28,
70,33,
71,32,
72,35,
73,35,
74,34,
75,27,
76,35,
77,31,
78,21,
79,23,
80,31,
81,32,
82,43,
83,36,
84,21,
85,26,
86,33,
87,37,
88,29,
89,30,
90,32,
91,44,
92,31,
93,29,
94,35,
95,35,
96,39,
97,29,
98,27,
99,33,
100,39,
101,39,
102,30,
103,41,
104,39,
105,47,
106,27,
107,39,
108,33,
109,30,
110,29,
111,22,
112,25,
113,34,
114,30,
115,43,
116,31,
117,40,
118,26,
119,38,
120,41,
121,30,
122,38,
123,27,
124,38,
125,33,
126,36,
127,26,
128,33,
129,31,
130,34,
131,29,
132,38,
133,26,
134,21,
135,30,
136,33,
137,42,
138,43,
139,43,
140,30,
141,33,
142,26,
143,24,
144,37,
145,30,
146,27,
147,30,
148,31,
149,20,
150,40,
151,32,
152,29,
153,22,
154,29,
155,38,
156,31,
157,29,
158,34,
159,32,
160,36,
161,33,
162,35,
163,37,
164,32,
165,35,
166,25,
167,29,
168,37,
169,35,
170,20,
171,22,
172,41,
173,46,
174,22,
175,39,
176,35,
177,40,
178,28,
179,28,
180,25,
181,30,
182,36,
183,32,
184,35,
185,28,
186,34,
187,38,
188,27,
189,22,
190,31,
191,29,
192,31,
193,31,
194,25,
195,33,
196,32,
197,40,
198,28,
199,38,
200,36,
201,34,
202,35,
203,26,
204,43,
205,27,
206,34,
207,36,
208,24,
209,44,
210,29,
211,26,
212,26,
213,38,
214,30,
215,23,
216,39,
217,28,
218,44,
219,31,
220,32,
221,32,
222,28,
223,37,
224,28,
225,34,
226,31,
227,37,
228,33,
229,31,
230,48,
231,32,
232,33,
233,33,
234,40,
235,27,
236,29,
237,35,
238,21,
239,33,
240,45,
241,38,
242,40,
243,29,
244,33,
245,34,
246,32,
247,36,
248,29,
249,41,
250,36,
251,37,
252,41,
253,31,
254,36,
255,39,
256,27,
257,37,
258,28,
259,25,
260,35,
261,29,
262,22,
263,34,
264,30,
265,28,
266,33,
267,34,
268,32,
269,34,
270,30,
271,38,
272,31,
273,36,
274,36,
275,36,
276,29,
